City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pumiao,22.75,108.48,68.0,94,90,2.24,CN,1583533055
1,hilo,19.73,-155.09,77.0,69,75,19.46,US,1583532949
2,rikitea,-23.12,-134.97,78.33,79,100,23.8,PF,1583533062
3,hithadhoo,-0.6,73.08,82.99,68,0,8.41,MV,1583533062
4,atuona,-9.8,-139.03,81.34,68,23,11.34,PF,1583533062
5,yellowknife,62.46,-114.35,-7.01,43,20,6.93,CA,1583533062
6,punta arenas,-53.15,-70.92,51.8,93,90,32.21,CL,1583533062
7,albany,42.6,-73.97,46.4,52,90,11.41,US,1583532783
8,clarence town,-32.58,151.78,69.01,88,75,21.92,AU,1583533062
9,hengyang,26.89,112.61,58.51,93,100,4.7,CN,1583533062
10,avarua,-21.21,-159.78,84.2,79,100,5.82,CK,1583533063
11,benghazi,32.12,20.07,64.38,50,0,17.9,LY,1583533063
12,umm lajj,25.02,37.27,66.42,31,0,5.32,SA,1583533063
13,dikson,73.51,80.55,-22.85,88,0,7.11,RU,1583533063
14,hofn,64.25,-15.21,32.52,67,39,10.29,IS,1583533063
15,laguna,38.42,-121.42,66.2,59,1,13.87,US,1583533063
16,ushuaia,-54.8,-68.3,64.4,55,20,8.5,AR,1583532920
17,busselton,-33.65,115.33,64.99,67,99,2.73,AU,1583533063
18,half moon bay,37.46,-122.43,68.0,87,90,11.41,US,1583533063
19,saint-philippe,-21.36,55.77,80.6,83,90,4.7,RE,1583533063
20,khrebtovaya,56.7,104.25,-2.61,99,100,6.13,RU,1583533063
21,tasiilaq,65.61,-37.64,17.6,67,100,3.36,GL,1583533063
22,bandrele,-12.91,45.19,82.4,83,100,5.82,YT,1583533063
23,honiara,-9.43,159.95,78.8,88,20,3.36,SB,1583533063
24,qaanaaq,77.48,-69.36,-23.55,61,0,5.93,GL,1583533064
25,tuktoyaktuk,69.45,-133.04,-18.4,68,20,5.82,CA,1583533064
26,westport,41.14,-73.36,46.4,86,90,10.29,US,1583532888
27,jamestown,42.1,-79.24,33.8,92,90,14.99,US,1583533035
28,sao joao da barra,-21.64,-41.05,77.0,73,100,9.17,BR,1583533064
29,cidreira,-30.18,-50.21,72.77,72,4,14.99,BR,1583533064
30,mahebourg,-20.41,57.7,81.0,74,40,8.05,MU,1583533064
31,khatanga,71.97,102.5,-31.54,96,100,7.56,RU,1583533064
32,nanakuli,21.39,-158.15,78.8,94,90,8.05,US,1583533064
33,bluff,-46.6,168.33,60.15,60,91,6.71,NZ,1583533064
34,ribeira grande,38.52,-28.7,62.6,82,75,20.8,PT,1583533065
35,murgab,37.5,61.97,46.4,61,40,13.87,TM,1583533065
36,da nang,16.07,108.22,73.4,94,20,4.7,VN,1583532901
37,pevek,69.7,170.31,-5.26,98,100,4.94,RU,1583533065
38,chokurdakh,70.63,147.92,-8.32,82,100,5.46,RU,1583533065
39,bambous virieux,-20.34,57.76,81.0,74,40,8.05,MU,1583533065
40,kawalu,-7.38,108.21,71.4,86,64,2.33,ID,1583533065
41,guilin,25.28,110.29,57.2,100,75,1.81,CN,1583533065
42,narsaq,60.92,-46.05,37.4,32,100,29.97,GL,1583533065
43,hermanus,-34.42,19.23,73.99,60,38,1.99,ZA,1583533065
44,aklavik,68.22,-135.01,-9.4,62,20,6.93,CA,1583533065
45,carnot,4.94,15.87,74.23,63,48,3.91,CF,1583533066
46,kruisfontein,-34.0,24.73,75.97,67,0,6.51,ZA,1583533066
47,ormara,25.21,64.64,73.06,52,0,23.64,PK,1583533066
48,xuddur,4.12,43.89,73.96,86,66,13.85,SO,1583533066
49,novyy urengoy,66.08,76.63,-13.27,78,100,10.92,RU,1583533066
50,amarwara,22.3,79.17,64.4,49,0,7.7,IN,1583533066
51,soyo,-6.13,12.37,78.94,82,59,6.51,AO,1583533066
52,east london,-33.02,27.91,75.7,76,0,21.68,ZA,1583533066
53,leshukonskoye,64.9,45.76,31.28,91,100,8.86,RU,1583533066
54,carnarvon,-24.87,113.63,71.6,83,0,9.17,AU,1583533066
55,chimore,-16.98,-65.13,87.24,56,71,1.39,BO,1583532867
